Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 04/14  14:00:00,0.795261003745,2.92439829853,0.0,2.18046880025,0.0,0.0600354684296,0.0600354684296,0.0600354684296,0.0652643324166,0.0142194351839,0.299429816056,0.339199951659,0.720566181098
 04/14  15:00:00,0.823531498326,2.96625045522,0.0,2.21410623855,0.0,0.0609616175975,0.0609616175975,0.0609616175975,0.0652643324166,0.0142194351839,0.307918976015,0.358055137113,0.727482197427
 04/14  16:00:00,0.942163075565,3.10902512626,0.0,2.28390287197,0.0,0.0628833481822,0.0628833481822,0.0628833481822,0.0693433537151,0.0151081499967,0.354199750391,0.42351647328,0.795951407866
 04/14  17:00:00,1.16499024732,3.91538233393,0.0,2.9383517784,0.0,0.0809024762965,0.0809024762965,0.0809024762965,0.0938174982246,0.0204404425163,0.438213000532,0.514504829754,0.94159263913
 04/14  18:00:00,1.28076976434,3.63858307164,0.0,2.52534136972,0.0,0.0695309430974,0.0695309430974,0.0695309430974,0.171318844381,0.037326011211,0.396885009915,0.558596955739,1.07476682069
 04/14  19:00:00,1.39711046968,3.64545861252,0.0,2.50971454599,0.0,0.0691006853096,0.0691006853096,0.0691006853096,0.338558692541,0.073763313073,0.321993876894,0.576581901865,1.09603042332
 04/14  20:00:00,1.64576602145,3.63140316338,0.0,2.57342096113,0.0,0.0708547321798,0.0708547321798,0.0708547321798,0.554746829721,0.120865199974,0.285783239672,0.596404019907,1.01690325688
 04/14  21:00:00,1.67600774132,3.741896626,0.0,2.78179077918,0.0,0.0765918377196,0.0765918377196,0.0765918377196,0.599616038926,0.130641057451,0.269566616575,0.582480190648,0.919985942973
 04/14  22:00:00,1.3696649212,3.85635826787,0.0,3.05792522718,0.0,0.0841947261136,0.0841947261136,0.0841947261136,0.448692342834,0.097758611198,0.217845283247,0.50406195781,0.763714405443
 04/14  23:00:00,1.0757884673,4.0893666002,0.0,3.46494608066,0.0,0.0954013471838,0.0954013471838,0.0954013471838,0.310005551811,0.0675423112045,0.147706795011,0.438020462091,0.594250671528
