Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 02/09  05:00:00,0.588367561497,4.52611874894,0.0,4.17913766694,0.111898385391,0.111898385391,0.111898385391,0.0535229499812,0.0110893513124,0.06307140009,0.333437474722,0.324012639151
 02/09  06:00:00,0.64448724301,4.73542876651,0.0,4.13298012456,0.110662495388,0.110662495388,0.110662495388,0.0583886702053,0.0120974749363,0.0759011793751,0.372089423106,0.576817705723
 02/09  07:00:00,0.814424647251,4.97723550678,0.0,3.89875065324,0.104390890636,0.104390890636,0.104390890636,0.111911613308,0.0231868205478,0.129674584873,0.429912737888,1.04887082722
 02/09  08:00:00,1.0761208533,5.37295640467,0.0,4.16214470101,0.111443390701,0.111443390701,0.111443390701,0.223823226615,0.0463736553479,0.207318086672,0.456814493963,1.17934458195
 02/09  09:00:00,1.01496738072,5.05559511365,0.0,3.8834256037,0.103980555194,0.103980555194,0.103980555194,0.1994945911,0.041333037228,0.268600928953,0.386210268249,1.14556587614
 02/09  10:00:00,0.897706675503,5.03249626988,0.0,3.96792471673,0.106243058865,0.106243058865,0.106243058865,0.0973144732719,0.0201624582272,0.329942516084,0.328696169054,1.04192970949
 02/09  11:00:00,0.914749671138,5.58098250073,0.0,4.63875374049,0.124204822898,0.124204822898,0.124204822898,0.0778515511019,0.0161299608809,0.344788777527,0.336426558731,0.919054417901
 02/09  12:00:00,0.912390982627,4.77243768942,0.0,3.94017161838,0.105499956546,0.105499956546,0.105499956546,0.0778515511019,0.0161299608809,0.361031883506,0.336529630593,0.809084628718
 02/09  13:00:00,0.888181368869,4.34043888027,0.0,3.59423804298,0.0962374216342,0.0962374216342,0.0962374216342,0.0778515511019,0.0161299608809,0.351753757089,0.330860678163,0.723409893999
 02/09  14:00:00,0.85928440397,4.05341633846,0.0,3.3574634793,0.0898976708317,0.0898976708317,0.0898976708317,0.0778515511019,0.0161299608809,0.31775556627,0.342301654885,0.672373817829
 02/09  15:00:00,0.85647800807,3.90138306678,0.0,3.25474658261,0.0871473773961,0.0871473773961,0.0871473773961,0.0827172644472,0.0171380816544,0.292551191427,0.361576093145,0.621729746139
