Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 06/02  24:00:00,0.718787664771,0.0215264063852,0.0,0.0,0.0,0.0,0.0,0.0,0.150921453481,0.0325124840344,0.0979160521221,0.312523849786,0.108269825348
 06/03  01:00:00,0.576899414436,0.0198201499944,0.0,0.0,0.0,0.0,0.0,0.0,0.0911816699856,0.0196429501656,0.0874394002251,0.287752143518,0.0742392505422
 06/03  02:00:00,0.511613994,0.0195903511539,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0742958053889,0.284415886781,0.0636490584948
 06/03  03:00:00,0.501933689554,0.0193145925452,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0655605047062,0.280412378698,0.0667075628159
 06/03  04:00:00,0.533979160271,0.0185849812266,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0762071431636,0.269819763559,0.0986990102137
 06/03  05:00:00,0.7224906571,0.0207393453564,0.0,0.0,0.0,0.0,0.0,0.0,0.0628839163785,0.0135468669175,0.0894598278958,0.301097170464,0.238858875445
 06/03  06:00:00,1.11466203348,0.0239622740947,0.0,0.0,0.0,0.0,0.0,0.0,0.0848932926875,0.0182882669062,0.146230247206,0.347888171192,0.500718055487
 06/03  07:00:00,1.36717859421,0.025461711529,0.0,0.0,0.0,0.0,0.0,0.0,0.135200470403,0.0291257673051,0.230070744137,0.369657246397,0.571480365966
 06/03  08:00:00,1.30689162135,0.0215264063852,0.0,0.0,0.0,0.0,0.0,0.0,0.100614275765,0.0216749836356,0.301918552373,0.312523849786,0.553515959789
 06/03  09:00:00,1.22150548631,0.01832071256,0.0,0.0,0.0,0.0,0.0,0.0,0.0565955311138,0.0121921802258,0.375444492549,0.265983068313,0.494646214109
 06/03  10:00:00,1.17238291204,0.018751585386,0.0,0.0,0.0,0.0,0.0,0.0,0.0503071378827,0.010837493534,0.397296302362,0.272238549693,0.425059428564
 06/03  11:00:00,1.12266491391,0.018757330357,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.413103835179,0.272321956112,0.363272031164
 06/03  12:00:00,1.10055048027,0.0184413569513,0.0,0.0,0.0347035067791,0.0104403395005,0.0451438462796,0.0104403395005,0.0471629412671,0.0101601501881,0.397818744732,0.267734603099,0.3158861947
 06/03  13:00:00,1.14932805026,0.0190790487337,0.0,0.0,0.114675565559,0.033320877092,0.147996442651,0.033320877092,0.0471629412671,0.0101601501881,0.362611655582,0.276992715543,0.287760145033
 06/03  14:00:00,1.23374258137,0.0201533583131,0.0,0.0,0.212938344881,0.060452569249,0.27339091413,0.060452569249,0.0471629412671,0.0101601501881,0.333354815889,0.292589715786,0.260440044115
 06/03  15:00:00,1.35252087479,0.0212736276606,0.0,0.0,0.283864877197,0.0797405229918,0.363605400189,0.0797405229918,0.0503071378827,0.010837493534,0.338084853439,0.308853967376,0.264188022366
 06/03  16:00:00,1.61365925296,0.0251629730363,0.0,0.0,0.385061925959,0.106782378806,0.491844304764,0.106782378806,0.0503071378827,0.010837493534,0.378534863978,0.36532011264,0.30017134016
 06/03  17:00:00,1.98350017117,0.0305689907594,0.0,0.0,0.483265658274,0.135705824365,0.61897148264,0.135705824365,0.0628839163785,0.0135468669175,0.454299388857,0.443805552365,0.373348964011
 06/03  18:00:00,2.10608303023,0.0331886975413,0.0,0.0,0.461246813407,0.130847281432,0.592094094839,0.130847281432,0.100614275765,0.0216749836356,0.416394015259,0.48183887916,0.44682278157
 06/03  19:00:00,2.1301195583,0.0342572621497,0.0,0.0,0.440413196541,0.126463662668,0.566876859209,0.126463662668,0.194940174233,0.0419952840119,0.348977049664,0.497352472985,0.463333718196
 06/03  20:00:00,2.22172557876,0.0354349812073,0.0,0.0,0.40804442847,0.118345481327,0.526389909797,0.118345481327,0.34900577653,0.075185118257,0.316662375189,0.514450788759,0.423387610229
 06/03  21:00:00,2.19496786553,0.0346077053815,0.0,0.0,0.295542421859,0.0919258722279,0.387468294087,0.0919258722279,0.506215527643,0.109052285551,0.302601602849,0.502440264508,0.370545890892
 06/03  22:00:00,1.76853415066,0.0299485338901,0.0,0.0,0.200219415861,0.0633246680076,0.263544083869,0.0633246680076,0.424466463437,0.0914413516933,0.244764602777,0.434797659176,0.292875989711
 06/03  23:00:00,1.28090473836,0.0260247186883,0.0,0.0,0.119719917319,0.0381910638375,0.157910981157,0.0381910638375,0.295554449998,0.0636702676475,0.162483910071,0.377831075402,0.206810054089
